"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=6496194, hash=f66072cd5a2bb3cf722b2992aa0af32a5d36046ca0207b68ab6a90cf4dadc8da, inputs_count=1, inputs_value=0, is_coinbase=true, is_double_spend=false, is_sw_tx=true, lock_time=1023742439, outputs_count=4, outputs_value=631496194, sigops=4, size=377, version=1, vsize=350, weight=1400, witness_hash=f1fc955677f1073d0b4a8df51720bf86472484a4487208de43ecff684b6bceb3, inputs=[{""sequence"":0,""prev_addresses"":[""""],""prev_tx_hash"":""0000000000000000000000000000000000000000000000000000000000000000"",""prev_value"":0,""prev_position"":-1,""prev_type"":""NONSTANDARD""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":631496194},{""spent_by_tx"":"""",""addresses"":[""""],""spent_by_tx_position"":-1,""type"":""NULL_DATA"",""value"":0},{""spent_by_tx"":"""",""addresses"":[""""],""spent_by_tx_position"":-1,""type"":""NULL_DATA"",""value"":0},{""spent_by_tx"":"""",""addresses"":[""""],""spent_by_tx_position"":-1,""type"":""NULL_DATA"",""value"":0}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=76400, hash=bb60435b3db5989e663e175dd8b2eb2cf40685cb420bca786800eabc48a57451, inputs_count=1, inputs_value=175481132, is_coinbase=false, is_double_spend=false, is_sw_tx=false, lock_time=0, outputs_count=2, outputs_value=175404732, sigops=4, size=223, version=2, vsize=223, weight=892, witness_hash=bb60435b3db5989e663e175dd8b2eb2cf40685cb420bca786800eabc48a57451, inputs=[{""sequence"":4294967295,""prev_addresses"":[""14UiFY8vJdRRZBsFGgPo2cTshg2oJZ6vZj""],""prev_tx_hash"":""6a3a3fe9523fea070a00010dfa8f0ef2c391bc7e515dfda1296b06af18cdc9ec"",""prev_value"":175481132,""prev_position"":1,""prev_type"":""P2PKH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""3HTXfxw4JDsLku2r6rM1XhV5Uc1TjTfreq""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":500000},{""spent_by_tx"":"""",""addresses"":[""14UiFY8vJdRRZBsFGgPo2cTshg2oJZ6vZj""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":174904732}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=70000, hash=2d4e647d24fb763d370306d82a5dd6b6b55bde03cb74d8eb6ce4fd6d7b055dda, inputs_count=1, inputs_value=621584659858, is_coinbase=false, is_double_spend=false, is_sw_tx=false, lock_time=0, outputs_count=2, outputs_value=621584589858, sigops=4, size=223, version=2, vsize=223, weight=892, witness_hash=2d4e647d24fb763d370306d82a5dd6b6b55bde03cb74d8eb6ce4fd6d7b055dda, inputs=[{""sequence"":4294967295,""prev_addresses"":[""19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6""],""prev_tx_hash"":""6e1ef4ea89d1373ea22a12e55124202af27c6a47042eae8d1a2f7afa2fcec246"",""prev_value"":621584659858,""prev_position"":0,""prev_type"":""P2PKH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""34mLMmbsYud8ahy4h8Bn7Dasw1YTXQ8WE8""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":2607367},{""spent_by_tx"":"""",""addresses"":[""19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":621581982491}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=120000, hash=5265c185237b21884b6620a53aa555b337fffbf7b13d189cbd521d391fd60a73, inputs_count=2, inputs_value=836999635, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=0, outputs_count=7, outputs_value=836879635, sigops=1, size=532, version=1, vsize=449, weight=1795, witness_hash=85002a53ed65458ca108abba884fd497c6f9a7db3a683dc0007b7eb6f2c0090f, inputs=[{""sequence"":4294967295,""prev_addresses"":[""bc1qtkfx2cdy2j4gsug7add2xng9fl7d9ruy8hslkp""],""prev_tx_hash"":""380729889e32cb79c53f9d8e93e05cd3bd1d50289aef6fc3049e2b6e234db7c6"",""prev_value"":415379285,""prev_position"":12,""prev_type"":""P2WPKH_V0""},{""sequence"":4294967295,""prev_addresses"":[""19chMzYUW3rPPcTMARHdQgXsV8z3AhxKZj""],""prev_tx_hash"":""0cfdb0d2e678c77cb86230625febad5b97546cbf87b3469d1981b855f13b5ff6"",""prev_value"":421620350,""prev_position"":35,""prev_type"":""P2PKH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""34dH6QKmDysq5YcSEVXPuuQCyCh34oQGpi""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":153265500},{""spent_by_tx"":"""",""addresses"":[""32DxX76skuUYjy2VX2dBXhGURHpgzHgcxV""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":169272329},{""spent_by_tx"":"""",""addresses"":[""3CGMwacsbYqC2wMaDyHVmLVQYQip6DZLvG""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":84586164},{""spent_by_tx"":"""",""addresses"":[""bc1qq2x0vx5dhm48gyyrym9z2f9qqz0fwpt56637la""],""spent_by_tx_position"":-1,""type"":""P2WPKH_V0"",""value"":6034977},{""spent_by_tx"":"""",""addresses"":[""3NdZJJhmBkjpu7A34tXBDL8m6zfqxNjRN1""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":84386165},{""spent_by_tx"":"""",""addresses"":[""3F37JuUQVvtWoNdTCfgacsCdfDgtEkDv2k""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":210800000},{""spent_by_tx"":"""",""addresses"":[""38Gp7oN63KzpFxKc78G8DuCb1R8uMQRW4t""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":128534500}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=50000, hash=7514d36ce6e82026cf80541c1aec9f3ada8cdd3ca1c7737110c70864bb4c47ae, inputs_count=1, inputs_value=3869538, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=0, outputs_count=2, outputs_value=3819538, sigops=3, size=380, version=1, vsize=190, weight=758, witness_hash=202d2703e36c6ed38be5cd8823ce09f5eab71b2dfe216ab907b527f10fdaa6d3, inputs=[{""sequence"":4294967295,""prev_addresses"":[""bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej""],""prev_tx_hash"":""9523a3ed621da3e45654ec165f871d50ed4cfc92f2dbd80e7a3a69b211b8c2d8"",""prev_value"":3869538,""prev_position"":3,""prev_type"":""P2WSH_V0""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""3PVnEGFZCcX7Pk1KBWNnjsjLELhxG8oaDS""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":2300000},{""spent_by_tx"":"""",""addresses"":[""bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej""],""spent_by_tx_position"":-1,""type"":""P2WSH_V0"",""value"":1519538}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=50000, hash=18337ad5f46bb662d48ebd6eb1f4c8435b3863d125b0eab9844b175abba5bf6f, inputs_count=1, inputs_value=8319850000, is_coinbase=false, is_double_spend=false, is_sw_tx=false, lock_time=0, outputs_count=2, outputs_value=8319800000, sigops=8, size=225, version=2, vsize=225, weight=900, witness_hash=18337ad5f46bb662d48ebd6eb1f4c8435b3863d125b0eab9844b175abba5bf6f, inputs=[{""sequence"":4294967295,""prev_addresses"":[""1GC3q7JYPuQPTSBfJbmTViaVDv5pcZF2Va""],""prev_tx_hash"":""a9360c02c8ad198120311670924ad5d45ed603f757ddff50527bfa601d41725e"",""prev_value"":8319850000,""prev_position"":2,""prev_type"":""P2PKH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""175UK8EdEhVgUyGvm2BfV3huwAytdqFC38""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":14810000},{""spent_by_tx"":"""",""addresses"":[""1GC3q7JYPuQPTSBfJbmTViaVDv5pcZF2Va""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":8304990000}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=35725, hash=74b1136d06346aa36638c02d3e5b4ff5e7aff5b81c3892bd85078f78ee85398a, inputs_count=1, inputs_value=32630541, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=0, outputs_count=2, outputs_value=32594816, sigops=1, size=247, version=2, vsize=166, weight=661, witness_hash=4b7acfe407d408f166b2aab8ee13d706ef3a9c644d3dc0fd0c6e621b08ddced4, inputs=[{""sequence"":4294967295,""prev_addresses"":[""3GFNUzYnDtxaAS5K4ExDq9rCQsCLYKb8p8""],""prev_tx_hash"":""5a2af8181edbea4b17d1c9de0cc0359a32dbf7d684800e2c4a2d58b750f25911"",""prev_value"":32630541,""prev_position"":1,""prev_type"":""P2SH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""3DvK5cJHqsoZJCtLeH2R2nKZWbT4g8ndbh""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":700000},{""spent_by_tx"":"""",""addresses"":[""39CffvnasEKa4Zi6zWo8VVvXwwmDgoADmq""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":31894816}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=26894, hash=b72b867bd0198b067dfb53c002673f07c4972d3ef5ec3c4b780efa9396e27b95, inputs_count=1, inputs_value=2000000, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=0, outputs_count=2, outputs_value=1973106, sigops=5, size=225, version=2, vsize=144, weight=573, witness_hash=c56b58860fd550fed2ff0e5ab439ecb32f38a4de799fdf4f50e9b99cf02044f5, inputs=[{""sequence"":4294967295,""prev_addresses"":[""bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r""],""prev_tx_hash"":""3bb15afc8fe3d68a45f5a1c97024f8b8db129955e7e5723c6bd38600179710ef"",""prev_value"":2000000,""prev_position"":0,""prev_type"":""P2WPKH_V0""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""1PG8oNDxvxRodVEn2WjARNqSFussPmytvu""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":380909},{""spent_by_tx"":"""",""addresses"":[""bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r""],""spent_by_tx_position"":-1,""type"":""P2WPKH_V0"",""value"":1592197}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=27888, hash=e767057077ba5ea7e564c13549ffaeca8a9c13894da1065bdc07634b5976fb9d, inputs_count=1, inputs_value=29880786, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=643972, outputs_count=2, outputs_value=29852898, sigops=5, size=249, version=2, vsize=168, weight=669, witness_hash=aef43db75340f6af5162bdb403efbc43746f6e4c9fb834b4bd762eab56d5d2e0, inputs=[{""sequence"":4294967294,""prev_addresses"":[""3KkvhNsZMyTExFhGVYK7cWHKP7QPvBbmcS""],""prev_tx_hash"":""930e3e55f2c882a53a27f41dd0faf11bc83c77fdb223b7a07d20e1b0daeb5a2d"",""prev_value"":29880786,""prev_position"":1,""prev_type"":""P2SH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""1Er8awSq5B1euaSD6qiX5y98uBDAmTZfmU""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":250000},{""spent_by_tx"":"""",""addresses"":[""3M5T3P9PXhMvVgysnfWQmwQXgmLbrsx2vM""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":29602898}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=27556, hash=256b10c1375d82a0916dba0ee73c9709040e3d7485c3f6a28013e4ada0c63ff1, inputs_count=1, inputs_value=145280454, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=643973, outputs_count=2, outputs_value=145252898, sigops=1, size=247, version=2, vsize=166, weight=661, witness_hash=4c5bc5f990f6c8ae4cb1c64cdee8f42597e859ae130a2ea19e30f8d67c3017c4, inputs=[{""sequence"":4294967294,""prev_addresses"":[""372RGakNwdEzUvckUwbh4mvPfhEVic2q6A""],""prev_tx_hash"":""6f1b74c90cd4f5910b5c92bbf1cdf874fde8418925ed7a93387c83f36df82364"",""prev_value"":145280454,""prev_position"":0,""prev_type"":""P2SH""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""37nuDC1MKF9STdNbCC7gPBocP2DcogQVZZ""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":140252898},{""spent_by_tx"":"""",""addresses"":[""35TnskNL54SZ2X5B6fNdVAX1cGTS4Xrzfj""],""spent_by_tx_position"":-1,""type"":""P2SH"",""value"":5000000}])"
"BtcTx(block_height=643974, block_hash=00000000000000000007d7304e94cbbbb9efc665c66a1b925c020561b7709982, block_time=1597565472, confirmations=1, fee=31570, hash=daa163921146b0f824f36d20ce42adfa060605b3d0ce1494765f4139aa29c2a9, inputs_count=1, inputs_value=108669151, is_coinbase=false, is_double_spend=false, is_sw_tx=true, lock_time=0, outputs_count=2, outputs_value=108637581, sigops=7, size=382, version=2, vsize=192, weight=766, witness_hash=f60c7dde8ea667aeb0f40de707014e2328247a868f8614ff4e284e5f288f25db, inputs=[{""sequence"":0,""prev_addresses"":[""bc1qx5s6ty2hsyf684w8zp624frttttg76haej62v27x0lmay94gd6zq95thja""],""prev_tx_hash"":""86044b3c9c1dbea2d7e171944439b1582a90c3c32e442f9153eed8e74ce87250"",""prev_value"":108669151,""prev_position"":2,""prev_type"":""P2WSH_V0""}], outputs=[{""spent_by_tx"":"""",""addresses"":[""1KrKseMoPpGs1cRBxNhg7qT2JAN489qLtz""],""spent_by_tx_position"":-1,""type"":""P2PKH"",""value"":24680000},{""spent_by_tx"":"""",""addresses"":[""bc1qx5s6ty2hsyf684w8zp624frttttg76haej62v27x0lmay94gd6zq95thja""],""spent_by_tx_position"":-1,""type"":""P2WSH_V0"",""value"":83957581}])"
